id,name,website,auth_address,current_commission,total_stake,vdp_stake,organic_stake,initial_tier,current_tier,dependency_ratio,Rewards_USD,MonthlyReturns_USD,EstimatedMonthlyReturns_USD,underwater_status,graduation_status
14,StarlightNode,https://starlightnode.com/,0xB3986A5CA3C7E2B9EDE961B94581CCAF59E750BC,15,53246804.90141981,52500000.0,746804.901419811,Tier 3,Tier 3,0.9859746532622486,7305.7,1120.907,145.978,true,false
15,Staker Space,https://staker.space,0x7D2E38C4C514E2D55F339CFA692067109776BF87,15,53214344.42796473,52500000.0,714344.427964732,Tier 3,Tier 3,0.9865760926749417,7537.926,1202.596,336.464,true,false
16,MonadVision,https://blockvision.org,0x32EC9F91169B8FDF4DACDE85BA05F6D3F3B6DA63,15,129580284.56249966,52500000.0,77080284.56249966,Tier 3,Tier 3,0.4051542267965772,17741.075,2688.151,6188.262,false,true
17,Cosmostation,https://cosmostation.io/,0x62CF8D73ED03A73CB032738FD80A2DE9AE96FC2B,10,80340321.23376368,75000000.0,5340321.23376368,Tier 2b,Tier 2b,0.9335287542823595,11855.111,1198.744,372.024,true,false
18,deNodes,https://denodes.io/,0x26BCDBECC965E46FBC321F966C88AC75500349AB,15,52618229.89400729,52500000.0,118229.89400728792,Tier 3,Tier 3,0.9977530621184816,7335.189,1112.128,55.483,true,false
19,Natsai,https://www.natsai.xyz/,0xA6DCD548CE093D5C13513D8BDB17EE3666D0B413,15,53392312.70556296,52500000.0,892312.7055629566,Tier 3,Tier 3,0.9832876183790034,7566.335,1237.398,469.569,true,false
20,Lemniscap,https://lemniscap.com/,0xC273C37DFE9EB5BACFE9F768D90779620A46A918,15,75100232.32839713,75000000.0,100232.328397125,Tier 2b,Tier 2b,0.9986653526188997,10484.332,1584.516,54.106,true,false
21,Redundex,https://www.redundex.com,0x57A7C50E6C27B6252FF484785A6D75E294C8A0A5,15,53466019.783891365,52500000.0,966019.7838913649,Tier 3,Tier 3,0.9819320797060264,7509.959,1237.798,507.365,true,false
22,Enigma,https://enigma-validator.com/,0x9361AB84512F78E3BD64BC222F0888FC8ED63701,15,52731927.4636315,52500000.0,231927.46363150328,Tier 3,Tier 3,0.9956017639637493,7478.562,1133.84,65.463,true,false
23,Nansen | Stake to Stack Points,https://www.nansen.ai,0x9EEA7CF24351F91BAC039736975C8B9EA23DE3AA,15,169081591.17639863,52500000.0,116581591.17639863,Tier 3,Tier 3,0.3105009814180661,25884.418,3894.743,10750.09,false,true
24,BlockPI,https://blockpi.io/,0xD724928F5DF8BA7A147B902DAD20BE77B324D4D1,15,25133532.748264745,25000000.0,133532.74826474488,Tier 4,Tier 4,0.9946870680854062,3590.928,550.784,58.053,true,false
25,Twinstake,https://www.twinstake.com/,0xACBC9799D2C9641281FAEA84ADC62ED9F880F7CB,15,76143802.20600688,75000000.0,1143802.2060068846,Tier 2b,Tier 2b,0.9849783938696373,10763.864,1626.592,142.438,true,false
26,ContributionDAO,https://staking.contributiondao.com/,0x5D0F856E55DF12DB04CF082D2B3B53F99A18329F,15,77225855.33918467,75000000.0,2225855.3391846716,Tier 2b,Tier 2b,0.9711773300611762,10967.921,1724.922,452.259,true,false
27,ValiDAO,https://validao.xyz/,0xA34C89DBCEE10C2C06A77CD7A2B79DFF6DA7F51B,10,25138621.52268373,25000000.0,138621.5226837285,Tier 4,Tier 4,0.994485715035781,3755.804,389.027,60.112,true,false
28,NodeStake,https://nodestake.org,0x36CA1C26AF96BCB6F431FE5DB6356415664CB6CA,15,54537186.304263644,52500000.0,2037186.304263644,Tier 3,Tier 3,0.9626459221255355,7546.357,1143.713,210.084,true,false
29,Node.Monster,https://node.monster/,0x7790E63B28FD3667D8B87DF71DA0E516E4E1D7C1,15,54398374.06918334,52500000.0,1898374.0691833422,Tier 3,Tier 3,0.9651023748105226,7770.485,1270.263,563.724,true,false
30,Spider Node 🕷️,https://spidernode.net/,0x3886E9E9409A68190693E1614D881E32A47474B5,15,53259323.10257808,52500000.0,759323.1025780812,Tier 3,Tier 3,0.9857429073757543,7452.568,1129.78,107.722,true,false
31,StakingCabin,https://www.stakingcabin.com,0xE1887AA4F73CD7B099984C2797C00AB78C95A46F,15,75127783.77530524,75000000.0,127783.77530524135,Tier 2b,Tier 2b,0.998299114270595,10487.316,1584.963,56.357,true,false
32,Kukis Global,https://kukis-global.com,0xD346E30C880BABA0B1D1A10F280725589DDCC055,15,25105407.485529743,25000000.0,105407.48552974313,Tier 4,Tier 4,0.9958014031204035,3496.12,536.255,54.388,true,false
33,Staketab,https://staketab.com,0x3D51B64110B10AE6623E6088D680B6B579AD3A17,10,25101125.24556531,25000000.0,101125.24556531012,Tier 4,Tier 4,0.9959712863636192,1763.19,182.641,27.263,true,false
34,Ghost,https://tryghost.xyz,0xD4F0A7B477E4773AC82B4F4F1CE46CEEDE293410,15,25147260.468417574,25000000.0,147260.46841757372,Tier 4,Tier 4,0.9941440751129723,3506.144,537.773,57.845,true,false
35,DeSpread,https://despread.io/,0x1EAFE0C26A8F40B8B7260B73D8827CF4BD8A7448,15,53698590.486208655,52500000.0,1198590.486208655,Tier 3,Tier 3,0.9776792933416663,7621.0,1155.213,145.866,true,false
36,Kairos Research X Firstset,https://kairoscrypto.substack.com/,0x0273FC2AD8D8C9C4C9962F94525331F3FB2BF548,15,99047008.18123884,52500000.0,46547008.181238845,Tier 3,Tier 3,0.5300513459622537,14047.759,2119.159,3903.944,false,true
37,LakeStake,https://www.lakestake.io/,0x1D2C7AB8BCFCC62A8BAC73500240D13297197A49,15,54972098.29467017,52500000.0,2472098.294670172,Tier 3,Tier 3,0.9550299448018368,7671.853,1162.651,242.541,true,false
38,Moonlet,https://moonlet.io/,0xE0091F59C5B9A3D2A6D48A78A67D4E313A95B730,15,75106897.42878519,75000000.0,106897.42878518999,Tier 2b,Tier 2b,0.9985767295355723,10363.044,1566.195,54.054,true,false
39,StakeCraft,https://stakecraft.com,0xADBE62E7C9E0B4902B1AAE233A774386892E36BC,10,70803782.40771963,52500000.0,18303782.407719627,Tier 3,Tier 3,0.7414858107110956,10511.735,1064.6,1107.918,false,true
40,DTEAM,https://dteam.tech/,0x8B7801128D1C1A8DB8370F628A3FD241F3BCDC3E,15,52602241.74592411,52500000.0,102241.74592410773,Tier 3,Tier 3,0.9980563234088397,7289.395,1105.188,53.867,true,false
41,ITRocket,https://itrocket.net/,0x998FF51F1C7ED28B0BFAED343F3FE9B563291C1C,15,52662375.857137404,52500000.0,162375.85713740438,Tier 3,Tier 3,0.9969166629022227,7419.521,1128.199,72.278,true,false
42,PathrockNetwork,https://pathrocknetwork.org/,0x594F52D3FCCDA979BB036BF14EA43A9D6F307F35,15,53460834.86174784,52500000.0,960834.8617478386,Tier 3,Tier 3,0.9820273128125926,7578.281,1199.512,316.434,true,false
43,P-OPS Team,https://www.pops.one,0xA0D7FA637DB3014F3055721A910CD32FE750BDA5,15,91541131.25876322,90000000.0,1541131.258763224,Tier 1,Tier 1,0.9831646033037669,12885.596,1997.732,373.147,true,false
44,BlackBlocks,https://blackblocks.io,0x928FD52837E177438F9FA5BF2390581F1A348FA7,15,52919018.584940284,52500000.0,419018.5849402845,Tier 3,Tier 3,0.9920818904782273,7472.853,1166.946,212.404,true,false
45,Imperator.co,https://imperator.co,0x0BC883D44A17BED07492D97995CC20966DE75FA1,15,57618161.503003664,52500000.0,5118161.503003664,Tier 3,Tier 3,0.9111710375775032,8049.005,1219.196,471.771,true,false
46,Spectrum Staking,https://spectrumstaking.net/,0x685E077FC097079F964EA8B6258BFBFB976E248F,15,78117254.17070915,75000000.0,3117254.170709148,Tier 2b,Tier 2b,0.960095190188111,10738.995,1623.54,298.523,true,false
47,Dead King Society,https://www.deadkingsociety.io/,0xDCA2EE0BFF2C4BF196B749BDFF0E5B8B460A87DE,10,25000000.135220252,25000000.0,0.1352202519774437,Tier 4,Tier 4,0.9999999945911899,0.0,0.0,0.0,true,false
48,Nodes.Guru,https://nodes.guru,0x886E66B18E9D25E9B01FC0B521BD041AAABE66E0,15,55753736.71831787,52500000.0,3253736.7183178663,Tier 3,Tier 3,0.941640921132218,7815.983,1184.324,307.631,true,false
49,FTP,https://ftptech.xyz,0x191CF606F9A0740EC7E5D5DE97A0138553A7C044,15,52600004.0,52500000.0,100004.0,Tier 3,Tier 3,0.9980987834145412,7301.912,1107.086,53.783,true,false
50,[NODERS],https://noders.team,0xCF1452FC323B73D5A1E014CF1F8D673F04B74EBF,15,52634404.62639828,52500000.0,134404.62639828026,Tier 3,Tier 3,0.997446449193217,7357.535,1115.521,56.906,true,false
51,The Workshop,https://theworkshop.sh,0xA8BB854ACB565CE294C850E90A34F97CBB169DB7,15,67337400.97335744,52500000.0,14837400.973357439,Tier 3,Tier 3,0.7796558708996213,9453.651,1733.763,2430.713,false,true
52,Cryptomind,https://cryptomind.group,0x8086A3762C9F34264151976816E9599034796487,15,75100060.11530465,75000000.0,100060.11530464888,Tier 2b,Tier 2b,0.9986676426736407,10360.454,1565.794,53.453,true,false
53,d10s,https://d10s.fi/,0x7F2463EB15BE181574B85AB4405AA40491D40AE2,15,54921301.1602699,52500000.0,2421301.160269901,Tier 3,Tier 3,0.9559132593526122,7690.757,1319.175,834.349,true,false
54,Chainode Tech,https://chainode.tech/,0x8C3E9326C9C10912991724B1376ECC5D7A103348,15,75100103.0,75000000.0,100103.0,Tier 2b,Tier 2b,0.9986670724006863,10493.396,1585.892,54.167,true,false
55,Stardust Staking,https://starduststaking.com,0x1B38D91CAD16174A622355B315C82670DFFA3036,15,134891069.82392648,52500000.0,82391069.82392648,Tier 3,Tier 3,0.38920293291860114,17171.281,2696.041,6228.481,false,true
56,L0vd,https://l0vd.com/,0x7906A9D9A08E3E1110A96D4B31A400ED287FAFE6,15,80709668.15186343,75000000.0,5709668.151863426,Tier 2b,Tier 2b,0.9292567014261525,11241.038,1808.341,934.4,true,false
57,Meria,https://www.meria.com/,0xEE10FF182512AB37A67ADEDC8CD41EA34FAC3971,15,25312140.525857925,25000000.0,312140.5258579254,Tier 4,Tier 4,0.9876683473079231,3569.764,547.453,71.826,true,false
58,DELIGHT,https://delightlabs.io/,0x820C8F8EDC0B83357ACC0FBF8D3AA654455E2A14,0,66434627.528401785,52500000.0,13934627.528401785,Tier 3,Tier 3,0.7902505358001063,11026.068,18.0,69.743,true,false
59,vldtr.xyz,bbs.vldtr.xyz,0xF238389697D1850DF269EA2FFE5D85029FFA19A3,10,6.793143688278505,0.0,6.793143688278505,Tier 3,Removed,0.0,0.0,0.0,0.0,true,false
60,STAKEME,https://stakeme.pro,0x53823CC1EFF7D5B2E08EF9013482BEF74CC4FED7,15,52673969.28921465,52500000.0,173969.2892146483,Tier 3,Tier 3,0.9966972435994059,7780.493,1179.762,62.674,true,false
61,Synergy Nodes,https://www.synergynodes.com,0xACD134CF5E0A778BFA773887997093B0C6DF5414,15,56520463.34122993,52500000.0,4020463.3412299305,Tier 3,Tier 3,0.9288671199144766,7978.1,1208.705,379.204,true,false
62,Forest Staking (decommissioned),https://foreststaking.com,0x1FC572111F29ADBF548EAB959D443E02B5A4DD5B,10,4.100000009732696,0.0,4.100000009732696,Tier 3,Removed,0.0,0.0,0.0,0.0,true,false
63,coinblitz.pro,https://coinblitz.pro,0x06250D8DBC9A47AECD34752A16C2A56098CB0469,15,53443072.338455565,52500000.0,943072.3384555653,Tier 3,Tier 3,0.9823537027870876,7385.649,1211.26,474.8,true,false
64,GO2Pro,https://go2pro.xyz/,0xC16AD0D3E739A098737C98D03A785AAEABB3384A,15,52630349.237957194,52500000.0,130349.23795719445,Tier 3,Tier 3,0.9975233066121632,7281.528,1103.989,56.059,true,false
65,OriginStake,https://originstake.com,0xC6B666C6E04A6781E14DFA5F5455E10967268246,15,52631331.1253493,52500000.0,131331.12534929812,Tier 3,Tier 3,0.9975046968689332,7408.905,1123.303,56.968,true,false
66,Stakely,https://stakely.io,0xFE50F732E97F79572DC490EF8E9F3819EC1A9293,15,53104409.940463,52500000.0,604409.940462999,Tier 3,Tier 3,0.9886184604792593,7497.806,1136.669,97.06,true,false
67,Cassini,https://x.com/Cassini0x,0x25005A80E6550DEFF789082AD11BCD32AE454D53,15,52629374.58348667,52500000.0,129374.58348666877,Tier 3,Tier 3,0.9975417799563352,7340.74,1112.979,56.474,true,false
68,cp0x_by_STAKRspace,https://cp0x.com/,0x04347136B60542F799546BAC8EF8B5C9008D706B,15,52994041.672451,52500000.0,494041.67245099694,Tier 3,Tier 3,0.9906774109530162,7455.258,1157.726,192.959,true,false
69,0xHub,https://www.0xhub.xyz/,0x715BA2F6E9AE43AF728E94419554BC62EF522EA1,15,52856851.70944952,52500000.0,356851.7094495222,Tier 3,Tier 3,0.9932487142554174,7441.333,1128.525,77.054,true,false
70,F5 Nodes,https://f5nodes.com,0xD1E5A0D089E5D58D071AE5120D4F82B8A6792E77,15,53132725.0,52500000.0,632725.0,Tier 3,Tier 3,0.9880916139723682,7446.94,1128.96,97.71,true,false
71,Firstset,https://firstset.xyz,0x2A0967F3509267ED24986B3AB4DE187846B4D1F9,15,69297834.83111478,52500000.0,16797834.831114784,Tier 3,Tier 3,0.7575994275715445,9780.647,1479.056,1437.778,false,true
72,01node,https://01node.com,0xDCBF11F8CCAE171E7CF0170DBAD3E4AE4A0A4DB5,15,95791079.39435789,90000000.0,5791079.39435789,Tier 1,Tier 1,0.9395446900591143,13342.96,2175.481,1131.82,false,true
73,1XP,https://1xp.com/,0xFD407BFE9004692E66E91D0067F06829E98285E1,15,75196361.8537015,75000000.0,196361.85370150208,Tier 2b,Tier 2b,0.9973886788022599,10467.541,1581.964,61.462,true,false
74,StakeUs,https://stakeus.xyz,0x490F91410F8560E98BBA72AC1DE81E3E594BF1F8,15,52631973.416623995,52500000.0,131973.4166239947,Tier 3,Tier 3,0.9974925238774667,7368.979,1117.249,56.802,true,false
75,Laminated Labs,https://laminatedlabs.com/,0xF4A991EDFB879C7BFD985B073F94FBECC27B681E,15,81203464.1848732,75000000.0,6203464.1848731935,Tier 2b,Tier 2b,0.9236059169747983,11506.409,1813.416,844.465,true,false
76,Luganodes,https://luganodes.com/,0xA40A5AF1C1B059BE0192BFA58B28BA788B3D2435,15,84902629.33798163,75000000.0,9902629.337981626,Tier 2b,Tier 2b,0.8833648684946953,12000.201,1829.794,918.874,true,false
77,Omakase,https://0xmakase.co.jp/,0xCDA5231DB2D619D256936ABF7B03E16987E5B055,15,26120343.8472895,25000000.0,1120343.847289499,Tier 4,Tier 4,0.9571083805848997,3662.972,561.361,138.238,true,false
78,Validation Cloud,https://www.validationcloud.io,0xB363B3CDF94149EF04979E4BAC22A2B184D8D463,15,83296833.03178231,75000000.0,8296833.031782314,Tier 2b,Tier 2b,0.9003943759948638,11774.685,1778.208,733.274,true,false
79,Stakecito,https://stakecito.com/,0xA1209E656424AC42C7495AB2F0E9A4BC6384CB51,15,52725809.207756855,52500000.0,225809.2077568546,Tier 3,Tier 3,0.9957172927044686,7312.743,1108.702,63.442,true,false
80,✅ CryptoCrew,https://solva.solutions,0xB30D2E150A39B8195052337F558631B3884153D4,15,25256720.201362573,25000000.0,256720.2013625726,Tier 4,Tier 4,0.9898355685411314,3599.257,552.375,69.582,true,false
81,Silk Nodes,https://monad.silknodes.io/,0x66F7CD7AFB3392168956F101392DF0AE3CCB032F,15,52963367.590957575,52500000.0,463367.59095757455,Tier 3,Tier 3,0.9912511682690531,7470.669,1132.592,83.901,true,false
82,Huginn,https://huginn.tech,0xB49FBB4837C31296C32D0798833C935C1CAC371E,15,53846848.67162414,52500000.0,1346848.671624139,Tier 3,Tier 3,0.9749874188582944,7500.577,1137.207,157.061,true,false
83,CertHum,https://www.certhum.com,0xF20C7A849D8E8EE7D261DA19DA8CB0B000269C3A,15,52795982.551155046,52500000.0,295982.5511550456,Tier 3,Tier 3,0.9943938433029774,7419.948,1137.064,117.329,true,false
84,MCF,https://mcf.rocks/,0xB2F59531519B1B2D848881CF7BA53385488B5C8E,15,52600003.0,52500000.0,100003.0,Tier 3,Tier 3,0.9980988023898022,7336.443,1112.322,54.041,true,false
85,StakeAngle,https://stakeangle.com/,0xD5D1E559ED26DF7C085E1D28EE10CFACCB393B32,15,52600003.0,52500000.0,100003.0,Tier 3,Tier 3,0.9980988023898022,7341.622,1113.107,54.076,true,false
86,TTT VN,https://tienthuattoan.com,0xC833404089416EAB548DF4EF2A998599C57CD83E,15,53179304.99562371,52500000.0,679304.9956237078,Tier 3,Tier 3,0.9872261400242142,7288.963,1168.523,342.66,true,false
87,Syncnode,https://syncnode.tech/,0x08FDB31DC912F8DC43A997BFCEBD91A05D2388AA,15,53423003.0,52500000.0,923003.0,Tier 3,Tier 3,0.9827227421116705,7411.547,1135.561,165.305,true,false
88,Grassets,https://grassets.tech,0xFDB0C67FBF0CF63E298057F3937F9779891D5524,15,64481587.14979398,52500000.0,11981587.149793983,Tier 3,Tier 3,0.8141859144695035,8983.084,1402.368,1191.543,false,true
89,RHINO 🦏,https://rhinostake.com,0xDA80050ED4F50033949608208F79EE43AB91DF55,15,52770170.84908513,52500000.0,270170.8490851298,Tier 3,Tier 3,0.9948802354675376,7414.828,1140.137,130.088,true,false
90,Brightlystake,https://brightlystake.com,0x833B1D188E09D7950604BCAD07C99B99A9F36A49,15,52625998.2032715,52500000.0,125998.20327150077,Tier 3,Tier 3,0.9976057802688165,7377.154,1118.489,56.35,true,false
91,Encapsulate,https://encapsulate.xyz/,0x232BFA6BE1690455D7EF6DC488334B35921FD27D,15,52799079.67274138,52500000.0,299079.6727413833,Tier 3,Tier 3,0.9943355135241915,7373.86,1117.967,67.5,true,false
92,CMS Holdings,http://cmsholdings.io/,0x36B173C207EBD8EA4B193D0FE3A88B22E69EAA9E,4,343002915.7109757,52500000.0,290502915.7109757,Tier 3,Tier 3,0.1530599233863016,52884.626,2298.597,7611.396,false,true
93,Quicknode,https://quicknode.com,0x84302F63749F8519C60ADF1EEFCE77A11BC9467C,10,53641924.06112145,52500000.0,1141924.0611214489,Tier 3,Tier 3,0.9787120972800994,7875.855,870.746,387.118,true,false
94,TrustedPoint,https://trusted-point.com,0x68BEF4160BD717CF077E421070CAE80295CDEE6F,15,75600103.5645583,75000000.0,600103.5645582974,Tier 2b,Tier 2b,0.9920621330360236,10567.904,1597.079,94.836,true,false
95,Chainlayer,https://chainlayer.io/,0x4FA5ED96D88AA108675D35C325CEF9EC2A8C6E2F,10,30043220.375194997,25000000.0,5043220.375194997,Tier 4,Tier 4,0.8321344944978368,4485.211,465.907,357.941,true,false
96,NodesHub,https://NodesHub.online,0x73ADB8429A3AFCC9A8965319FF36B128D642895D,15,52642531.1489808,52500000.0,142531.14898079634,Tier 3,Tier 3,0.9972924715839094,7384.52,1119.666,57.983,true,false
97,Backpack,https://backpack.exchange/,0xBB8EE00846BF924F34BA4F8A86D690FF11EED7CA,0,1895421238.4565759,0.0,1895421238.4565759,Tier 4,Removed,0.0,306783.008,68.677,266.085,true,false
98,auri0x,https://auri0x.io,0x766B56D530185B1618CF7B4B34B9163DE631C7EF,15,79820056.58223502,75000000.0,4820056.582235023,Tier 2b,Tier 2b,0.9396134657300181,11065.74,1671.645,434.009,true,false
99,Qubelabs,https://www.qubelabs.io,0x220CAB61A8527934A22B422BB1099EC1F59ED6E3,15,75100069.15914144,75000000.0,100069.15914143622,Tier 2b,Tier 2b,0.9986675224102739,10446.349,1578.776,53.899,true,false
100,ASXN,https://asxn.xyz/,0xA9E4CD51A6E51DE8DFE1226B3C6B78D6FD4488F5,15,75189186.10117342,75000000.0,189186.10117341578,Tier 2b,Tier 2b,0.9974838655532346,10600.341,1602.034,62.071,true,false
101,Swissstarnode,https://swissstarnode.tech/,0x1F462D211EA2ADAAB8ED0F18111981D7D3DD9DFD,15,52686957.32745457,52500000.0,186957.32745456696,Tier 3,Tier 3,0.9964515444250727,7385.278,1120.8,65.061,true,false
102,polkachu.com,https://www.polkachu.com,0xC653E9188532238A36DD2C02D63EE1931F3E46F0,0,178198053.46353173,75000000.0,103198053.46353173,Tier 2b,Tier 2b,0.42088001828453625,30614.184,36.411,141.081,true,false
103,Validatus,https://validatus.com/,0xDDD18111C41CD12E3770B0F77BAF37F82A4C638F,10,52693303.57946113,52500000.0,193303.57946112752,Tier 3,Tier 3,0.9963315342495157,7922.473,805.779,63.577,true,false
104,Needlecast,https://envoys.io/,0x897B78DDB008B57449F03928E92C35C49352F770,15,52600003.0,52500000.0,100003.0,Tier 3,Tier 3,0.9980988023898022,7265.223,1101.524,53.512,true,false
105,StakeSquid,https://stakesquid.com,0x3F74870F80FF7449FE4C6FF257DA5FA72734C970,10,58429410.65145285,52500000.0,5929410.651452847,Tier 3,Tier 3,0.8985201016860606,8636.796,876.983,391.094,true,false
106,HoodRun,https://hoodrun.io,0xEAE0732DAF1E349A8F282090D6DE69C7039AAA2C,15,75208583.12561177,75000000.0,208583.12561176717,Tier 2b,Tier 2b,0.997226604771115,10414.644,1577.569,78.643,true,false
107,EmberStake,https://emberstake.xyz/,0x4EEE73A7F95A536F32F7D83E1C83D3DE79E1883B,15,52680008.000709295,52500000.0,180008.00070929527,Tier 3,Tier 3,0.9965829921531737,7292.848,1105.694,60.068,true,false
108,CosmosSpaces,https://cosmosspaces.zone/,0x2AC7CAD9D51F4F0AED777B68941E7995EA146CB7,15,52654789.6989823,52500000.0,154789.69898229837,Tier 3,Tier 3,0.9970602921430851,7320.889,1110.081,58.559,true,false
109,zim.one,https://zim.one/,0xC185195FDD1BF2895E6F0614E7040803334C0A21,9,56946860.08681777,52500000.0,4446860.086817771,Tier 3,Tier 3,0.9219121110446062,8530.328,781.79,297.539,true,false
110,Provalidator,https://provalidator.com,0x3673F7E6D7A26FB48D55CD28F0B1313DD84DF7FF,15,58449557.75721669,52500000.0,5949557.757216692,Tier 3,Tier 3,0.898210388829125,8334.624,1364.007,940.555,true,false
111,lux8net,https://lux8.net/,0x9A8A980FBF7E85652B65CE52BFF63FB6CFDACAA5,15,53323972.78592407,52500000.0,823972.7859240696,Tier 3,Tier 3,0.9845477982439153,7587.555,1210.701,349.412,true,false
112,Proof Group,https://proofgroup.xyz,0x40052A2369AD18991A6AE805F1BC30339FE9DB44,15,57517614.60876245,52500000.0,5017614.6087624505,Tier 3,Tier 3,0.912763861246811,7961.877,1206.022,458.198,true,false
113,CroutonDigital,https://crouton.digital/,0x993699628ACFF55C454DBA2240313E2C8CBC2A69,15,52753779.50006367,52500000.0,253779.50006367266,Tier 3,Tier 3,0.9951893588958235,7599.989,1152.244,68.526,true,false
114,nadradar,https://nadradar.com,0xC4F16F78467F804EFC13B6890F66DFD788640231,15,83713018.47164209,75000000.0,8713018.471642092,Tier 2b,Tier 2b,0.8959179990076019,11798.58,1781.763,767.759,true,false
115,r93AX Nodes,https://x.com/R93ax,0x1661D1E538C43CDAE31D878A69E6B2AEC4FBB4E9,15,52644909.770627595,52500000.0,144909.77062759548,Tier 3,Tier 3,0.9972474115492084,7522.901,1140.582,58.994,true,false
116,Flipside Crypto,https://flipsidecrypto.xyz,0x6FC77E205961E1BF41547F959367DC5A8A088AF8,15,28527.031485396317,0.0,28527.031485396317,Tier 2b,Removed,0.0,0.0,0.0,0.0,true,false
117,Coinage x DAIC,https://daic.capital/,0x2DD14C241A8604B03A4A388BD3CB6D375EB195F9,15,53580115.14036289,52500000.0,1080115.1403628886,Tier 3,Tier 3,0.9798411194613276,7398.225,1121.506,119.39,true,false
118,Stakeware,https://stakeware.xyz,0xE48CF88E81F10360505566AE12FA84453D21D0E4,15,25325133.62782219,25000000.0,325133.6278221905,Tier 4,Tier 4,0.9871616224182526,3562.256,573.211,177.164,true,false
119,CoinSummer Labs,https://coinsummer.io,0x37CBF56DBE5E6A18650E7F95A4B4706C1F93B31E,15,52631213.792314604,52500000.0,131213.79231460392,Tier 3,Tier 3,0.9975069206491726,7358.66,1115.684,56.472,true,false
120,Validatrium,https://validatrium.com/,0x54895DBAC0793BAEE7F6E60226A98F604E76A31C,15,52601212.87859989,52500000.0,101212.87859988958,Tier 3,Tier 3,0.9980758451552537,7395.145,1121.222,54.541,true,false
121,Talentum Labs,https://talentum.id,0x55134FBCA4E35AC367CB6A96FE6EC41D5DE7FFD0,15,52694227.72867531,52500000.0,194227.7286753133,Tier 3,Tier 3,0.9963140606277523,7407.295,1123.662,64.499,true,false
122,BlockHunters 🎯,https://blockhunters.org/,0x058F22E3BF5D5252114C78BD8F01AFD4E1AE9855,15,25131859.928947248,25000000.0,131859.92894724756,Tier 4,Tier 4,0.994753276147486,3506.223,537.792,56.62,true,false
